country,type,release_year,total_titles
Australia,Movie,2020,5
Australia,TV Show,2017,5
Australia,TV Show,2021,5
Brazil,Movie,2016,5
Brazil,TV Show,2018,5
Canada,TV Show,2019,5
"Canada, United States",Movie,2016,5
"Canada, United States",Movie,2018,5
Colombia,TV Show,2019,5
Egypt,Movie,2006,5
Egypt,Movie,2008,5
Egypt,Movie,2010,5
Egypt,Movie,2013,5
Egypt,Movie,2016,5
France,Movie,2021,5
"France, Belgium",Movie,2016,5
Germany,Movie,2014,5
Germany,Movie,2017,5
Germany,Movie,2019,5
India,Movie,1994,5
India,Movie,1995,5
India,TV Show,2014,5
Italy,Movie,2019,5
Japan,Movie,2013,5
Japan,TV Show,2010,5
Japan,TV Show,2011,5
Japan,TV Show,2013,5
Mexico,Movie,2015,5
Nigeria,Movie,2015,5
Poland,Movie,2020,5
Singapore,TV Show,2014,5
South Korea,TV Show,2013,5
Spain,Movie,2021,5
Taiwan,TV Show,2012,5
Taiwan,TV Show,2019,5
Turkey,TV Show,2014,5
United Arab Emirates,Movie,2019,5
United Kingdom,Movie,2013,5
"United Kingdom, United States",Movie,2019,5
United States,Movie,1976,5
United States,Movie,1980,5
United States,Movie,1981,5
United States,Movie,1984,5
United States,TV Show,2006,5
United States,TV Show,2009,5
"United States, Canada",Movie,2016,5
"United States, Canada",TV Show,2019,5
"United States, United Kingdom",Movie,2018,5
Australia,Movie,2017,4
Australia,Movie,2019,4
Australia,TV Show,2015,4
Australia,TV Show,2020,4
Canada,TV Show,2014,4
Canada,TV Show,2017,4
China,Movie,2018,4
China,Movie,2019,4
China,Movie,2021,4
China,TV Show,2017,4
"China, Hong Kong",Movie,2016,4
Colombia,TV Show,2020,4
Egypt,Movie,2009,4
Egypt,Movie,2014,4
Egypt,Movie,2019,4
France,Movie,2014,4
Germany,Movie,2015,4
Germany,TV Show,2021,4
Hong Kong,Movie,2016,4
India,Movie,1983,4
India,Movie,1990,4
Indonesia,Movie,2011,4
Indonesia,Movie,2015,4
Indonesia,Movie,2021,4
Italy,Movie,2021,4
Japan,TV Show,2006,4
Japan,TV Show,2012,4
Mexico,TV Show,2016,4
Mexico,TV Show,2018,4
Netherlands,Movie,2018,4
New Zealand,Movie,2016,4
Pakistan,Movie,2016,4
Pakistan,Movie,2017,4
Philippines,Movie,2014,4
Philippines,Movie,2020,4
Russia,TV Show,2015,4
South Africa,Movie,2021,4
South Korea,Movie,2020,4
"Spain, France",Movie,2018,4
Taiwan,TV Show,2011,4
Taiwan,TV Show,2018,4
Thailand,Movie,2010,4
Thailand,Movie,2011,4
Thailand,Movie,2019,4
Thailand,TV Show,2018,4
Turkey,Movie,2010,4
Turkey,TV Show,2016,4
United Kingdom,Movie,2008,4
"United Kingdom, United States",Movie,2021,4
United States,Movie,1973,4
United States,TV Show,2007,4
"United States, Japan",TV Show,2019,4
"United States, Mexico",Movie,2019,4
"United States, United Kingdom",Movie,2014,4
Belgium,TV Show,2017,3
Brazil,Movie,2013,3
Brazil,Movie,2015,3
Brazil,Movie,2021,3
Canada,Movie,2010,3
Canada,TV Show,2012,3
Canada,TV Show,2021,3
"Canada, United States",TV Show,2020,3
Chile,Movie,2018,3
"China, Hong Kong",Movie,2017,3
Colombia,TV Show,2018,3
Denmark,TV Show,2018,3
"France, Belgium",Movie,2015,3
"France, Belgium",Movie,2017,3
Germany,Movie,2018,3
Germany,TV Show,2019,3
Hong Kong,Movie,1983,3
Hong Kong,Movie,1984,3
Hong Kong,Movie,1992,3
Hong Kong,Movie,2009,3
Hong Kong,Movie,2010,3
India,Movie,1993,3
India,Movie,1996,3
India,Movie,1997,3
India,TV Show,2010,3
India,TV Show,2013,3
India,TV Show,2017,3
Indonesia,Movie,2008,3
Indonesia,Movie,2009,3
Indonesia,Movie,2013,3
Ireland,Movie,2016,3
Ireland,Movie,2017,3
Italy,Movie,2016,3
Italy,Movie,2017,3
Italy,Movie,2018,3
Japan,Movie,2004,3
Japan,Movie,2011,3
Japan,TV Show,2009,3
"Japan, United States",Movie,2016,3
Lebanon,Movie,2017,3
Malaysia,TV Show,2017,3
Mexico,Movie,2014,3
Mexico,Movie,2021,3
Netherlands,Movie,2015,3
New Zealand,Movie,2018,3
Nigeria,Movie,2014,3
Norway,TV Show,2020,3
Pakistan,Movie,2018,3
Philippines,Movie,2008,3
Philippines,Movie,2012,3
Russia,TV Show,2017,3
Singapore,TV Show,2009,3
Singapore,TV Show,2011,3
South Africa,Movie,2016,3
South Africa,Movie,2017,3
South Africa,Movie,2019,3
South Africa,TV Show,2020,3
South Korea,Movie,2019,3
South Korea,TV Show,2009,3
Taiwan,Movie,2018,3
Taiwan,TV Show,2014,3
Taiwan,TV Show,2020,3
Thailand,Movie,2012,3
Thailand,Movie,2017,3
Thailand,TV Show,2016,3
Thailand,TV Show,2020,3
Turkey,Movie,2011,3
Turkey,Movie,2012,3
Turkey,Movie,2020,3
Turkey,TV Show,2013,3
Turkey,TV Show,2015,3
Turkey,TV Show,2018,3
Turkey,TV Show,2020,3
Turkey,TV Show,2021,3
United Arab Emirates,Movie,2018,3
United Kingdom,Movie,1994,3
United Kingdom,Movie,2011,3
United Kingdom,TV Show,2010,3
"United Kingdom, United States",Movie,1997,3
"United Kingdom, United States",Movie,2013,3
"United Kingdom, United States",Movie,2020,3
"United Kingdom, United States",TV Show,2018,3
United States,Movie,1943,3
United States,Movie,1945,3
United States,Movie,1967,3
United States,Movie,1974,3
United States,Movie,1978,3
United States,TV Show,1990,3
United States,TV Show,1999,3
United States,TV Show,2001,3
United States,TV Show,2003,3
"United States, Canada",Movie,2007,3
"United States, Canada",Movie,2010,3
"United States, Canada",Movie,2013,3
"United States, Canada",Movie,2015,3
"United States, Canada",Movie,2017,3
"United States, Canada",Movie,2018,3
"United States, Canada",Movie,2019,3
"United States, Canada",TV Show,2017,3
"United States, Canada",TV Show,2018,3
"United States, Canada",TV Show,2020,3
"United States, France",Movie,2010,3
"United States, France",Movie,2012,3
"United States, Germany",Movie,2006,3
"United States, United Kingdom",Movie,2007,3
"United States, United Kingdom",Movie,2017,3
"United States, United Kingdom",TV Show,2021,3
Argentina,Movie,1985,2
Argentina,Movie,2015,2
Argentina,Movie,2017,2
Argentina,TV Show,2015,2
Argentina,TV Show,2017,2
Argentina,TV Show,2018,2
"Argentina, Spain",Movie,2017,2
"Argentina, Spain",Movie,2018,2
Australia,Movie,2012,2
Australia,Movie,2021,2
"Australia, United Arab Emirates",Movie,2017,2
"Australia, United States",Movie,2014,2
"Australia, United States",Movie,2018,2
